city,name,death,total,hurt
충남,아산시,298,419,121
충남,연기군,7,9,2
충남,예산군,160,270,110
충남,천안시,396,682,286
충남,청양군,93,135,42
충남,태안군,134,205,71
충남,홍성군,153,226,73
충북,괴산군,104,174,70
충북,단양군,51,117,66
충북,보은군,83,132,49
충북,영동군,92,123,31
충북,옥천군,77,132,55
충북,음성군,192,349,157
충북,제천시,117,172,55
충북,증평군,29,42,13
충북,진천군,107,144,37
충북,청원군,104,171,67
충북,청주시,482,771,289
충북,충주시,255,475,220
