,city,name,count,code,population
139,대전,동구,153.0,30110.0,250653.0
140,대전,동구,153.0,31170.0,178468.0
141,부산,동구,38.0,26170.0,96011.0
142,부산,동구,38.0,27140.0,343802.0
143,부산,동구,38.0,28140.0,75093.0
144,부산,동구,38.0,29110.0,103016.0
145,부산,동구,38.0,30110.0,250653.0
146,부산,동구,38.0,31170.0,178468.0
147,울산,동구,62.0,26170.0,96011.0
148,울산,동구,62.0,27140.0,343802.0
149,울산,동구,62.0,28140.0,75093.0
150,울산,동구,62.0,29110.0,103016.0
151,울산,동구,62.0,30110.0,250653.0
152,울산,동구,62.0,31170.0,178468.0
153,인천,동구,26.0,26170.0,96011.0
154,인천,동구,26.0,27140.0,343802.0
155,인천,동구,26.0,28140.0,75093.0
156,인천,동구,26.0,29110.0,103016.0
157,인천,동구,26.0,30110.0,250653.0
158,인천,동구,26.0,31170.0,178468.0
159,광주,북구,195.0,26320.0,309719.0
160,광주,북구,195.0,27230.0,444359.0
161,광주,북구,195.0,29170.0,445489.0
162,광주,북구,195.0,31200.0,185695.0
163,광주,북구,195.0,47113.0,269758.0
164,대구,북구,191.0,26320.0,309719.0
165,대구,북구,191.0,27230.0,444359.0
166,대구,북구,191.0,29170.0,445489.0
167,대구,북구,191.0,31200.0,185695.0
168,대구,북구,191.0,47113.0,269758.0
169,부산,북구,74.0,26320.0,309719.0
170,부산,북구,74.0,27230.0,444359.0
171,부산,북구,74.0,29170.0,445489.0
172,부산,북구,74.0,31200.0,185695.0
173,부산,북구,74.0,47113.0,269758.0
174,울산,북구,99.0,26320.0,309719.0
175,울산,북구,99.0,27230.0,444359.0
176,울산,북구,99.0,29170.0,445489.0
177,울산,북구,99.0,31200.0,185695.0
178,울산,북구,99.0,47113.0,269758.0
179,광주,서구,139.0,26140.0,118783.0
180,광주,서구,139.0,27170.0,215399.0
181,광주,서구,139.0,28260.0,490035.0
182,광주,서구,139.0,29140.0,315276.0
183,광주,서구,139.0,30170.0,498917.0
184,대구,서구,107.0,26140.0,118783.0
185,대구,서구,107.0,27170.0,215399.0
186,대구,서구,107.0,28260.0,490035.0
187,대구,서구,107.0,29140.0,315276.0
188,대구,서구,107.0,30170.0,498917.0
189,대전,서구,158.0,26140.0,118783.0
190,대전,서구,158.0,27170.0,215399.0
191,대전,서구,158.0,28260.0,490035.0
192,대전,서구,158.0,29140.0,315276.0
193,대전,서구,158.0,30170.0,498917.0
194,부산,서구,38.0,26140.0,118783.0
195,부산,서구,38.0,27170.0,215399.0
196,부산,서구,38.0,28260.0,490035.0
197,부산,서구,38.0,29140.0,315276.0
198,부산,서구,38.0,30170.0,498917.0
199,인천,서구,165.0,26140.0,118783.0
200,인천,서구,165.0,27170.0,215399.0
201,인천,서구,165.0,28260.0,490035.0
202,인천,서구,165.0,29140.0,315276.0
203,인천,서구,165.0,30170.0,498917.0
204,대구,달서구,182.0,27290.0,610358.0
205,대구,달성군,172.0,27710.0,184358.0
206,대구,수성구,174.0,27260.0,461004.0
207,대구,중구,56.0,11140.0,130465.0
208,대구,중구,56.0,26110.0,47345.0
209,대구,중구,56.0,27110.0,76246.0
210,대구,중구,56.0,28110.0,107774.0
211,대구,중구,56.0,30140.0,264913.0
212,대구,중구,56.0,31110.0,234607.0
213,대전,중구,104.0,11140.0,130465.0
214,대전,중구,104.0,26110.0,47345.0
215,대전,중구,104.0,27110.0,76246.0
216,대전,중구,104.0,28110.0,107774.0
217,대전,중구,104.0,30140.0,264913.0
218,대전,중구,104.0,31110.0,234607.0
219,부산,중구,30.0,11140.0,130465.0
220,부산,중구,30.0,26110.0,47345.0
