city,name,death,total,hurt,code,population
부산,남구,75.0,90.0,15.0,31140.0,349064.0
부산,남구,75.0,90.0,15.0,47111.0,249709.0
울산,남구,154.0,240.0,86.0,26290.0,291770.0
울산,남구,154.0,240.0,86.0,27200.0,166062.0
울산,남구,154.0,240.0,86.0,28170.0,411330.0
울산,남구,154.0,240.0,86.0,29155.0,216254.0
울산,남구,154.0,240.0,86.0,31140.0,349064.0
울산,남구,154.0,240.0,86.0,47111.0,249709.0
인천,남구,139.0,208.0,69.0,26290.0,291770.0
인천,남구,139.0,208.0,69.0,27200.0,166062.0
인천,남구,139.0,208.0,69.0,28170.0,411330.0
인천,남구,139.0,208.0,69.0,29155.0,216254.0
인천,남구,139.0,208.0,69.0,31140.0,349064.0
인천,남구,139.0,208.0,69.0,47111.0,249709.0
광주,동구,48.0,92.0,44.0,26170.0,96011.0
광주,동구,48.0,92.0,44.0,27140.0,343802.0
광주,동구,48.0,92.0,44.0,28140.0,75093.0
광주,동구,48.0,92.0,44.0,29110.0,103016.0
광주,동구,48.0,92.0,44.0,30110.0,250653.0
광주,동구,48.0,92.0,44.0,31170.0,178468.0
대구,동구,168.0,272.0,104.0,26170.0,96011.0
대구,동구,168.0,272.0,104.0,27140.0,343802.0
대구,동구,168.0,272.0,104.0,28140.0,75093.0
대구,동구,168.0,272.0,104.0,29110.0,103016.0
대구,동구,168.0,272.0,104.0,30110.0,250653.0
대구,동구,168.0,272.0,104.0,31170.0,178468.0
대전,동구,153.0,192.0,39.0,26170.0,96011.0
대전,동구,153.0,192.0,39.0,27140.0,343802.0
대전,동구,153.0,192.0,39.0,28140.0,75093.0
대전,동구,153.0,192.0,39.0,29110.0,103016.0
대전,동구,153.0,192.0,39.0,30110.0,250653.0
대전,동구,153.0,192.0,39.0,31170.0,178468.0
부산,동구,39.0,52.0,13.0,26170.0,96011.0
부산,동구,39.0,52.0,13.0,27140.0,343802.0
부산,동구,39.0,52.0,13.0,28140.0,75093.0
부산,동구,39.0,52.0,13.0,29110.0,103016.0
부산,동구,39.0,52.0,13.0,30110.0,250653.0
부산,동구,39.0,52.0,13.0,31170.0,178468.0
울산,동구,64.0,90.0,26.0,26170.0,96011.0
울산,동구,64.0,90.0,26.0,27140.0,343802.0
울산,동구,64.0,90.0,26.0,28140.0,75093.0
울산,동구,64.0,90.0,26.0,29110.0,103016.0
울산,동구,64.0,90.0,26.0,30110.0,250653.0
울산,동구,64.0,90.0,26.0,31170.0,178468.0
인천,동구,26.0,36.0,10.0,26170.0,96011.0
인천,동구,26.0,36.0,10.0,27140.0,343802.0
인천,동구,26.0,36.0,10.0,28140.0,75093.0
인천,동구,26.0,36.0,10.0,29110.0,103016.0
인천,동구,26.0,36.0,10.0,30110.0,250653.0
인천,동구,26.0,36.0,10.0,31170.0,178468.0
광주,북구,200.0,331.0,131.0,26320.0,309719.0
광주,북구,200.0,331.0,131.0,27230.0,444359.0
광주,북구,200.0,331.0,131.0,29170.0,445489.0
광주,북구,200.0,331.0,131.0,31200.0,185695.0
광주,북구,200.0,331.0,131.0,47113.0,269758.0
대구,북구,198.0,324.0,126.0,26320.0,309719.0
대구,북구,198.0,324.0,126.0,27230.0,444359.0
대구,북구,198.0,324.0,126.0,29170.0,445489.0
대구,북구,198.0,324.0,126.0,31200.0,185695.0
대구,북구,198.0,324.0,126.0,47113.0,269758.0
부산,북구,77.0,99.0,22.0,26320.0,309719.0
부산,북구,77.0,99.0,22.0,27230.0,444359.0
부산,북구,77.0,99.0,22.0,29170.0,445489.0
부산,북구,77.0,99.0,22.0,31200.0,185695.0
부산,북구,77.0,99.0,22.0,47113.0,269758.0
울산,북구,102.0,209.0,107.0,26320.0,309719.0
울산,북구,102.0,209.0,107.0,27230.0,444359.0
울산,북구,102.0,209.0,107.0,29170.0,445489.0
울산,북구,102.0,209.0,107.0,31200.0,185695.0
울산,북구,102.0,209.0,107.0,47113.0,269758.0
광주,서구,143.0,195.0,52.0,26140.0,118783.0
광주,서구,143.0,195.0,52.0,27170.0,215399.0
광주,서구,143.0,195.0,52.0,28260.0,490035.0
광주,서구,143.0,195.0,52.0,29140.0,315276.0
광주,서구,143.0,195.0,52.0,30170.0,498917.0
대구,서구,107.0,126.0,19.0,26140.0,118783.0
대구,서구,107.0,126.0,19.0,27170.0,215399.0
대구,서구,107.0,126.0,19.0,28260.0,490035.0
대구,서구,107.0,126.0,19.0,29140.0,315276.0
대구,서구,107.0,126.0,19.0,30170.0,498917.0
대전,서구,161.0,250.0,89.0,26140.0,118783.0
대전,서구,161.0,250.0,89.0,27170.0,215399.0
대전,서구,161.0,250.0,89.0,28260.0,490035.0
대전,서구,161.0,250.0,89.0,29140.0,315276.0
대전,서구,161.0,250.0,89.0,30170.0,498917.0
부산,서구,39.0,64.0,25.0,26140.0,118783.0
부산,서구,39.0,64.0,25.0,27170.0,215399.0
부산,서구,39.0,64.0,25.0,28260.0,490035.0
부산,서구,39.0,64.0,25.0,29140.0,315276.0
부산,서구,39.0,64.0,25.0,30170.0,498917.0
인천,서구,173.0,296.0,123.0,26140.0,118783.0
인천,서구,173.0,296.0,123.0,27170.0,215399.0
인천,서구,173.0,296.0,123.0,28260.0,490035.0
인천,서구,173.0,296.0,123.0,29140.0,315276.0
인천,서구,173.0,296.0,123.0,30170.0,498917.0
대구,달서구,187.0,260.0,73.0,27290.0,610358.0
대구,달성군,178.0,280.0,102.0,27710.0,184358.0
대구,수성구,179.0,260.0,81.0,27260.0,461004.0
대구,중구,58.0,75.0,17.0,11140.0,130465.0
대구,중구,58.0,75.0,17.0,26110.0,47345.0
대구,중구,58.0,75.0,17.0,27110.0,76246.0
대구,중구,58.0,75.0,17.0,28110.0,107774.0
대구,중구,58.0,75.0,17.0,30140.0,264913.0
대구,중구,58.0,75.0,17.0,31110.0,234607.0
대전,중구,107.0,137.0,30.0,11140.0,130465.0
대전,중구,107.0,137.0,30.0,26110.0,47345.0
대전,중구,107.0,137.0,30.0,27110.0,76246.0
대전,중구,107.0,137.0,30.0,28110.0,107774.0
대전,중구,107.0,137.0,30.0,30140.0,264913.0
대전,중구,107.0,137.0,30.0,31110.0,234607.0
부산,중구,31.0,40.0,9.0,11140.0,130465.0
부산,중구,31.0,40.0,9.0,26110.0,47345.0
부산,중구,31.0,40.0,9.0,27110.0,76246.0
부산,중구,31.0,40.0,9.0,28110.0,107774.0
부산,중구,31.0,40.0,9.0,30140.0,264913.0
부산,중구,31.0,40.0,9.0,31110.0,234607.0
서울,중구,67.0,102.0,35.0,11140.0,130465.0
서울,중구,67.0,102.0,35.0,26110.0,47345.0
서울,중구,67.0,102.0,35.0,27110.0,76246.0
서울,중구,67.0,102.0,35.0,28110.0,107774.0
서울,중구,67.0,102.0,35.0,30140.0,264913.0
서울,중구,67.0,102.0,35.0,31110.0,234607.0
울산,중구,97.0,112.0,15.0,11140.0,130465.0
울산,중구,97.0,112.0,15.0,26110.0,47345.0
울산,중구,97.0,112.0,15.0,27110.0,76246.0
울산,중구,97.0,112.0,15.0,28110.0,107774.0
울산,중구,97.0,112.0,15.0,30140.0,264913.0
울산,중구,97.0,112.0,15.0,31110.0,234607.0
