city,name,death,hurt,code,population
강원,강릉시,63.95348837209303,36.04651162790697,42150.0,216806.0
강원,고성군,28.000000000000004,72.0,42820.0,30398.0
강원,고성군,28.000000000000004,72.0,48820.0,56369.0
경남,고성군,67.3913043478261,32.608695652173914,42820.0,30398.0
경남,고성군,67.3913043478261,32.608695652173914,48820.0,56369.0
강원,동해시,68.47826086956522,31.521739130434785,42170.0,95143.0
강원,삼척시,55.81395348837209,44.18604651162791,42230.0,73023.0
강원,속초시,69.86301369863014,30.136986301369863,42210.0,83109.0
강원,양구군,61.111111111111114,38.88888888888889,42800.0,23594.0
강원,양양군,53.04347826086957,46.95652173913044,42830.0,27659.0
강원,영월군,47.26027397260274,52.73972602739726,42750.0,40150.0
강원,원주시,60.25316455696203,39.74683544303797,42130.0,324837.0
강원,인제군,59.82142857142857,40.17857142857143,42810.0,32517.0
강원,정선군,52.04081632653062,47.95918367346938,42770.0,39985.0
강원,철원군,70.65217391304348,29.347826086956523,42780.0,47473.0
강원,춘천시,68.08510638297872,31.914893617021278,42110.0,274455.0
강원,태백시,69.23076923076923,30.76923076923077,42190.0,48794.0
강원,평창군,39.50617283950617,60.49382716049383,42760.0,43666.0
강원,홍천군,56.994818652849744,43.005181347150256,42720.0,70638.0
강원,화천군,69.23076923076923,30.76923076923077,42790.0,25079.0
강원,횡성군,61.34969325153374,38.65030674846626,42730.0,44937.0
경기,가평군,57.83783783783784,42.16216216216216,41820.0,61017.0
경기,고양시,64.4524236983842,35.5475763016158,41280.0,990571.0
경기,과천시,80.76923076923077,19.230769230769234,41290.0,70578.0
경기,광명시,71.68141592920354,28.31858407079646,41210.0,353100.0
경기,광주시,58.18181818181818,41.81818181818181,41610.0,286699.0
경기,구리시,60.416666666666664,39.58333333333333,41310.0,189680.0
경기,군포시,74.46808510638297,25.53191489361702,41410.0,286344.0
경기,김포시,64.72602739726028,35.273972602739725,41570.0,312305.0
경기,남양주시,65.11111111111111,34.88888888888889,41360.0,618305.0
경기,동두천시,59.34959349593496,40.65040650406504,41250.0,97557.0
경기,부천시,80.98859315589354,19.011406844106464,41190.0,863720.0
경기,성남시,61.146496815286625,38.853503184713375,41130.0,979534.0
경기,수원시,72.90322580645162,27.09677419354839,41110.0,1148157.0
경기,시흥시,60.679611650485434,39.32038834951456,41390.0,396765.0
경기,안산시,56.043956043956044,43.956043956043956,41270.0,713666.0
경기,안성시,63.80368098159509,36.19631901840491,41550.0,182173.0
경기,안양시,61.92170818505338,38.07829181494662,41170.0,607877.0
경기,양주시,58.984375,41.015625,41630.0,199143.0
경기,양평군,67.8391959798995,32.1608040201005,41830.0,103620.0
경기,여주시,61.904761904761905,38.095238095238095,0.0,0.0
경기,연천군,68.6046511627907,31.3953488372093,41800.0,45610.0
경기,오산시,71.56862745098039,28.431372549019606,41370.0,205460.0
경기,용인시,50.0697350069735,49.930264993026505,41460.0,941477.0
경기,의왕시,52.22222222222223,47.77777777777778,41430.0,159772.0
경기,의정부시,65.9090909090909,34.090909090909086,41150.0,430976.0
경기,이천시,59.14285714285714,40.85714285714286,41500.0,205479.0
경기,파주시,65.3179190751445,34.68208092485549,41480.0,401718.0
경기,평택시,58.84016973125884,41.15983026874116,41220.0,442034.0
경기,포천시,64.3076923076923,35.69230769230769,41650.0,156603.0
경기,하남시,61.65413533834586,38.34586466165413,41450.0,145096.0
경기,화성시,60.416666666666664,39.58333333333333,41590.0,530251.0
경남,거제시,56.470588235294116,43.529411764705884,48310.0,242077.0
경남,거창군,76.06837606837607,23.931623931623932,48880.0,63177.0
경남,김해시,70.89201877934272,29.107981220657276,48250.0,522049.0
경남,남해군,62.76595744680851,37.234042553191486,48840.0,47244.0
경남,밀양시,66.22807017543859,33.771929824561404,48270.0,108342.0
경남,사천시,72.67080745341616,27.32919254658385,48240.0,116851.0
경남,산청군,72.8395061728395,27.160493827160494,48860.0,35935.0
경남,양산시,67.17557251908397,32.82442748091603,48330.0,279565.0
경남,의령군,68.68686868686868,31.313131313131315,48720.0,29417.0
경남,진주시,65.82914572864321,34.17085427135678,48170.0,337071.0
경남,창녕군,66.5,33.5,48740.0,63447.0
경남,창원시(통합),75.35014005602241,24.649859943977592,0.0,0.0
경남,통영시,66.66666666666666,33.33333333333333,48220.0,139719.0
경남,하동군,66.66666666666666,33.33333333333333,48850.0,50177.0
경남,함안군,63.87665198237885,36.12334801762114,48730.0,67667.0
경남,함양군,60.30534351145038,39.69465648854962,48870.0,40692.0
경남,합천군,61.53846153846154,38.46153846153847,48890.0,50290.0
경북,경산시,63.342318059299195,36.65768194070081,47290.0,248805.0
경북,경주시,65.2439024390244,34.756097560975604,47130.0,263283.0
경북,고령군,62.59541984732825,37.404580152671755,47830.0,35198.0
경북,구미시,65.85365853658537,34.146341463414636,47190.0,419428.0
경북,군위군,56.375838926174495,43.624161073825505,47720.0,24172.0
경북,김천시,68.46153846153847,31.538461538461537,47150.0,135259.0
경북,문경시,51.9607843137255,48.03921568627451,47280.0,75664.0
경북,봉화군,69.56521739130434,30.434782608695656,47920.0,33894.0
경북,상주시,59.94475138121547,40.055248618784525,47250.0,103346.0
경북,성주군,65.60509554140127,34.394904458598724,47840.0,45067.0
경북,안동시,62.848297213622295,37.15170278637771,47170.0,168461.0
경북,영덕군,50.0,50.0,47770.0,40142.0
경북,영양군,77.41935483870968,22.58064516129032,47760.0,18297.0
경북,영주시,56.36363636363636,43.63636363636363,47210.0,112625.0
경북,영천시,64.33823529411765,35.661764705882355,47230.0,100778.0
